거주지,Latitude,Longitude
강남구,37.5172363,127.0473248
강동구,37.5301251,127.123762
강북구,37.6396099,127.0256575
강서구,37.5509786,126.8495382
관악구,37.4784063,126.9516133
광진구,37.5384843,127.0822938
구로구,37.4954031,126.887369
금천구,37.4518527,126.9020358
노원구,37.6541917,127.056793
도봉구,37.6687738,127.0470706
동대문구,37.5743682,127.0400189
동작구,37.512402,126.9392525
마포구,37.5637561,126.9084211
서대문구,37.5791158,126.9367789
서초구,37.4837121,127.0324112
성동구,37.5633415,127.0371025
성북구,37.589116,127.0182146
송파구,37.5145437,127.1065971
양천구,37.5168721,126.8663985
영등포구,37.5263715,126.8962283
용산구,37.5384272,126.9654442
은평구,37.6026957,126.9291119
종로구,37.5729503,126.9793579
중구,37.5640907,126.9979403
중랑구,37.6065602,127.0926519